Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22.0,POR,NBA,PF,5.0,0.0,2.6,0.4,1.2,0.333,0.0,0.0,,0.4,1.2,0.333,0.333,0.0,0.0,,0.2,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.8
1991-92,23.0,POR,NBA,PF,8.0,0.0,3.1,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.3,0.5,0.5,0.0,0.5,0.5,0.3,0.0,0.0,0.3,0.5,1.5
1992-93,24.0,BOS,NBA,PF,4.0,4.0,17.0,2.8,6.0,0.458,0.0,0.0,,2.8,6.0,0.458,0.458,0.0,0.0,,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5
Career,,,NBA,,17.0,4.0,6.2,1.1,2.4,0.45,0.0,0.0,,1.1,2.4,0.45,0.45,0.1,0.2,0.5,0.2,1.0,1.2,0.2,0.0,0.1,0.6,0.6,2.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,13.0,0.0,2.9,0.5,1.2,0.438,0.0,0.0,,0.5,1.2,0.438,0.438,0.2,0.3,0.5,0.1,0.5,0.5,0.2,0.0,0.0,0.2,0.3,1.2
1 season,,BOS,NBA,,4.0,4.0,17.0,2.8,6.0,0.458,0.0,0.0,,2.8,6.0,0.458,0.458,0.0,0.0,,0.5,2.8,3.3,0.3,0.0,0.3,2.3,1.8,5.5
