Player,SR
L Vincent (NZ),69.88
KJ Coetzer (SCOT),86.18
KA Pollard (WI),94.14
CJ Chibhabha (ZIM),63.13
GP Thorpe (ENG),71.17
Rahmat Shah (AFG),70.08
Asghar Afghan (AFG),66.72
VVS Laxman (INDIA),71.23
RR Singh (INDIA),74.3
N Hussain (ENG),66.99
GS Chappell (AUS),75.7
Sarfaraz Ahmed (PAK),87.79
SL Campbell (WI),59.25
DL Vettori (ICC/NZ),82.98
S Matsikenyeri (ZIM),72.39
GM Wood (AUS),59.57
NLTC Perera (SL),111.67
MJ Greatbatch (NZ),71.18
JC Adams (WI),60.98
Shahriar Nafees (BDESH),69.49
D Ramdin (WI),80.35
RA Jadeja (INDIA),86.04
CS MacLeod (SCOT),82.92
Habibul Bashar (BDESH),60.45
IT Botham (ENG),79.1
MW Gatting (ENG),70.58
NH Fairbrother (ENG),72.06
RL Powell (WI),96.66
CL White (AUS),80.12
GC Wilson (IRE),71.94
CO Obuya (KENYA),68.56
Yasir Hameed (PAK),66.95
WPUJC Vaas (Asia/SL),72.42
KO Otieno (KENYA),56.61
SV Manjrekar (INDIA),64.3
MP Vaughan (ENG),68.39
CH Lloyd (WI),81.22
GD Elliott (NZ),81.78
BKG Mendis (SL),83.35
KJ Hughes (AUS),67.42
A Bagai (CAN),65.57
Fakhar Zaman (PAK),95.23
LMP Simmons (WI),73.05
Aftab Ahmed (BDESH),83.04
PJL Dujon (WI),67.51
M Amarnath (INDIA),57.7
KLT Arthurton (WI),67.46
Imran Nazir (PAK),81.01
RD Berrington (SCOT),74.24
Mohsin Khan (PAK),55.64
JV Coney (NZ),64.95
DJG Sammy (WI),100.05
RD Jacobs (WI),70.06
M Prabhakar (INDIA),60.26
Azhar Ali (PAK),74.45
OA Shah (ENG),78.67
MW Goodwin (ZIM),68.5
Khaled Mashud (BDESH),54.84
BA Edgar (NZ),49.22
A Balbirnie (IRE),75.13
Samiullah Shinwari (AFG),65.49
JO Holder (WI),94.28
DJ Hussey (AUS),90.7
MA Atherton (ENG),58.64
Mashrafe Mortaza (Asia/BDESH),87.67
MS Wade (AUS),82.11
MM Ali (ENG),104.06
IA Healy (AUS),83.84
KD Karthik (INDIA),73.24
Sir RJ Hadlee (NZ),75.5
Soumya Sarkar (BDESH),98.57
Imam-ul-Haq (PAK),80.47
Imran Farhat (PAK),69.06
CB Wishart (ZIM),70.56
Rashid Latif (PAK),76.39
DA Gunawardene (SL),71.49
AT Rayudu (INDIA),79.04
ND McKenzie (SA),69.4
NC Johnson (ZIM),70.28
BA Young (NZ),61.03
UDU Chandana (SL),72.99
CK Kapugedera (SL),72.04
Haris Sohail (PAK),85.17
GM Turner (NZ),68.05
LPC Silva (SL),70.4
Najibullah Zadran (AFG),89.85
SC Williams (WI),66.02
Saleem Elahi (PAK),71.31
RL Dias (SL),67.94
N Dickwella (SL),93.56
DR Smith (WI),92.69
UT Khawaja (AUS),84.09
IK Pathan (INDIA),79.54
RN ten Doeschate (NL),87.7
DL Houghton (ZIM),70.99
LRD Mendis (SL),75.07
Azhar Mahmood (PAK),76.5
RS Morton (WI),66.36
JJ Crowe (NZ),61.8
JM Kemp (Afr/SA),83.12
RD Shah (KENYA),65.53
MA Ouma (KENYA),59.44
HJH Marshall (NZ),73.06
DD Ebrahim (ZIM),56.81
MR Marsh (AUS),93.08
Nasir Jamshed (PAK),75.38
SO Hetmyer (WI),107.02
HA Gomes (WI),54.88
N Boje (Afr/SA),88.7
MO Odumbe (KENYA),69.96
P Utseya (ZIM),58.34
E Lewis (WI),82.27
L Ronchi (AUS/NZ),114.5
GP Howarth (NZ),60.14
JD Ryder (NZ),95.31
BC Broad (ENG),55.61
DO Obuya (KENYA),63.46
KM Jadhav (INDIA),102.18
Asad Shafiq (PAK),67.5
PG Fulton (NZ),72.77
Sabbir Rahman (BDESH),91.23
KMDN Kulasekara (SL),81.46
JR Hopes (AUS),93.71
SM Katich (AUS),68.74
Javed Omar (BDESH),51.89
Raqibul Hasan (BDESH),61.32
AA Obanda (KENYA),74.03
MS Sinclair (NZ),62.51
PN Kirsten (SA),56.02
J Charles (WI),83.8
MJ Prior (ENG),76.76
Nasir Hossain (BDESH),79.81
TM Head (AUS),90.02
NR Mongia (INDIA),68.9
C Munro (NZ),104.69
JEC Franklin (NZ),76.92
AB Agarkar (INDIA),80.62
Shoaib Mohammad (PAK),50.92
Basit Ali (PAK),75.79
MN Waller (ZIM),76.81
MD Gunathilaka (SL),85.9
JDS Neesham (NZ),98.96
SP O'Donnell (AUS),80.96
RR Rossouw (SA),94.36
Harbhajan Singh (Asia/INDIA),81.06
SG Law (AUS),75.28
Alok Kapali (BDESH),67.96
GM Hamilton (SCOT),66.64
D Mongia (INDIA),71.47
RW Marsh (AUS),82.26
HDPK Dharmasena (SL),65.03
Shaiman Anwar (UAE),82.53
Noor Ali Zadran (AFG),63.23
TM Moody (AUS),69.31
Junaid Siddique (BDESH),68.22
Mohammad Rafique (Asia/BDESH),71.61
CR Woakes (ENG),90.12
B Lee (AUS),83.58
JA Rudolph (Afr/SA),68.05
Nawroz Mangal (AFG),75.33
MH Cross (SCOT),73.95
T Mishra (KENYA),73.53
HM Nicholls (NZ),82.41
PL Mommsen (SCOT),69.04
MF Maharoof (SL),86.01
CJ Anderson (NZ),108.72
HS Modi (KENYA),58.18
ES Szwarczynski (NL),68.23
VS Solanki (ENG),72.93
B Zuiderent (NL),58.56
PA Strang (ZIM),66.02
G Boycott (ENG),53.56
F Behardien (SA),97.9
NL McCullum (NZ),87.7
Asif Mujtaba (PAK),63.91
DW Randall (ENG),62.69
Hashmatullah Shahidi (AFG),63.7
DS Smith (WI),70.31
JK Kamande (KENYA),62.61
IDS Smith (NZ),99.43
C Kieswetter (ENG),89.93
Anamul Haque (BDESH),70.69
MP Stoinis (AUS),91.86
KD Mills (NZ),81.66
JM How (NZ),66.53
Gulbadin Naib (AFG),73.1
AD Russell (WI),130.22
JP Faulkner (AUS),104.24
DSBP Kuruppu (SL),51.66
AG Prince (Afr/SA),67.77
SK Warne (AUS/ICC),72.04
SM Patil (INDIA),82.17
KOA Powell (WI),78.63
Rajin Saleh (BDESH),54.82
PW Borren (NL),85.37
NFI McCallum (SCOT),69.05
Khaled Mahmud (BDESH),67.83
BL Cairns (NZ),104.88
MJ Slater (AUS),60.4
MJ Horne (NZ),64.68
Akram Khan (BDESH),56.71
TLW Cooper (NL),70.16
Javed Ahmadi (AFG),75.6
Naeem Islam (BDESH),66.19
DF Watts (SCOT),62.47
Waqar Younis (PAK),67.05
Fawad Alam (PAK),74.47
SA Thomson (NZ),67.55
JF Mooney (IRE),79.25
GM Ritchie (AUS),64.84
HH Pandya (INDIA),115.57
RR Watson (SCOT),74.33
MD Marshall (WI),76.64
SF Mire (ZIM),80.25
Imad Wasim (PAK),109.67
MG Johnson (AUS),96.35
RS Madugalle (SL),60.35
NT Broom (NZ),81.22
A Kumble (Asia/INDIA),61.06
CM Spearman (NZ),77.87
RV Uthappa (INDIA),90.59
W Barresi (NL),75.67
AN Kervezee (NL),73.15
S Dhaniram (CAN),81.26
AJ Hall (SA),75.04
Rashid Khan (AFG),99.88
MJ Santner (NZ),87.95
TD Paine (AUS),70.8
KL Rahul (INDIA),80.96
JWA Taylor (ENG),80.12
J Srinath (INDIA),79.62
Yashpal Sharma (INDIA),63.02
TT Bresnan (ENG),90.25
SHT Kandamby (SL),69.6
AC Voges (AUS),87.17
DJ Richardson (SA),66.87
MA Vermeulen (ZIM),70.74
HK Badani (INDIA),73.47
GO Jones (ENG/PNG),77.17
TT Samaraweera (SL),69.29
SB Smith (AUS),65.27
