Player,SR
MA Suji (KENYA),46.95
A Turner (AUS),79.93
K Doriga (PNG),63.4
AD Mascarenhas (ENG),95.33
SM Davies (ENG),105.62
JP Kotze (NAM),91.38
RAS Lakmal (SL),60.39
Qaiser Ali (CAN),63.7
RP Burl (ZIM),68.06
BP Patel (INDIA),60.9
PR Downton (ENG),67.59
Hasan Raza (PAK),50.41
MJ Di Venuto (AUS),85.76
GD Drummond (SCOT),91.6
DK Lillee (AUS),75.0
CM Wright (SCOT),68.37
Amjad Javed (UAE),89.51
CRD Fernando (Asia/SL),60.96
J Garner (WI),66.38
T Panyangara (ZIM),51.61
KJ Arnott (ZIM),48.47
DC Thomas (WI),65.38
NS Poonia (SCOT),62.86
Enamul Haque (BDESH),49.26
GJ Hopkins (NZ),75.88
LM Jongwe (ZIM),77.88
Khurram Manzoor (PAK),62.93
GR Codrington (CAN),63.17
JP Crawley (ENG),57.59
P Khadka (NEPAL),82.16
PJ Cummins (AUS),71.34
Iftikhar Anjum (PAK),61.9
Ikram Alikhil (AFG),60.62
P Mustard (ENG),92.46
AME Roberts (WI),64.7
STR Binny (INDIA),93.49
TM Chappell (AUS),62.73
SHU Karnain (SL),59.32
TM Dowlin (WI),65.51
DR Flynn (NZ),63.33
AY Karim (KENYA),60.8
SR Thompson (IRE),90.83
M Dillon (WI),55.23
AMJ Hilditch (AUS),47.47
Raza-ur-Rehman (CAN),85.87
BP Julian (AUS),89.6
KR Stackpole (AUS),57.88
JH Edrich (ENG),68.61
V Shankar (INDIA),90.65
KM Jarvis (ZIM),65.87
Aqib Ilyas (OMAN),78.36
BKV Prasad (INDIA),60.21
Sarfraz Nawaz (PAK),64.05
Wasim Bari (PAK),51.27
HS Baidwan (CAN),64.89
DR Lockhart (SCOT),63.92
Y Venugopal Rao (INDIA),60.05
NR Kumar (CAN),54.65
FA Rose (WI),81.88
EO Simons (SA),73.55
V Dahiya (INDIA),80.89
WK Lees (NZ),70.03
NO Perry (WI),62.35
FRJ Coleman (SCOT),61.33
MJ Henry (NZ),100.0
KS Lokuarachchi (SL),80.15
CPH Ramanayake (SL),56.14
Tahir Naqqash (PAK),86.77
Mushtaq Mohammad (PAK),59.2
MHW Papps (NZ),60.52
DL Bairstow (ENG),52.82
AR Berenger (UAE),67.43
PE McEwan (NZ),58.95
JA Rennie (ZIM),51.4
APE Knott (ENG),80.97
NW Bracken (AUS),70.56
AJ Burger (NAM),100.5
Mohammad Nawaz (3) (PAK),93.42
Moin-ul-Atiq (PAK),71.32
M Ntini (ICC/SA),66.77
Ijaz Faqih (PAK),56.12
GA Lamb (ZIM),51.7
MR Swart (NL),72.42
T Maruma (ZIM),59.39
AP Devcich (NZ),77.07
GSNFG Jayasuriya (SL),71.42
ASA Perera (SL),75.87
Akram Raza (PAK),62.25
PJ Ingram (NZ),81.09
C Pringle (NZ),75.39
V Rathour (INDIA),58.3
Simi Singh (IRE),58.13
MM Iqbal (SCOT),53.33
CJ Smith (BMUDA),78.36
Abid Ali (PAK),97.44
DAG Fletcher (ZIM),66.08
TN Madondo (ZIM),57.7
Mohammad Boota (UAE),75.79
Shabir Noori (AFG),63.66
CJ McKay (AUS),56.37
Mohammad Shahzad (UAE),84.44
Usman Limbada (CAN),66.54
BAW Mendis (SL),71.48
TJ Murtagh (IRE),63.08
T Mupariwa (ZIM),56.92
SW Poynter (IRE),66.54
EAE Baptiste (WI),76.34
JL Ontong (Afr/SA),68.91
Saadat Ali (PAK),53.95
Sohag Gazi (BDESH),86.38
SI de Saram (SL),67.77
SJ Benn (WI),75.83
SR Taylor (USA),68.67
AR Patel (INDIA),95.26
JR Thomson (AUS),64.64
SB Bangar (INDIA),75.31
DG Cork (ENG),66.42
WF Stelling (NL),66.17
B Warnapura (SL),43.37
Mazhar Hussain (UAE),53.59
DM Richards (WI),71.31
TK Curran (ENG),107.22
SC Khanna (INDIA),66.41
TC Bastiampillai (CAN),58.13
BR Blair (NZ),68.77
GC Dyer (AUS),76.65
MD Moxon (ENG),53.53
GRJ Roope (ENG),50.58
SB Doull (NZ),91.48
Hasibul Hossain (BDESH),69.63
BN Cooper (NL),92.93
RP Lefebvre (NL),61.07
DK Morrison (NZ),42.75
I Udana (SL),94.47
D Bau (PNG),53.29
PS de Villiers (SA),77.98
SW Masakadza (ZIM),96.04
CJ Jordan (ENG),89.89
J Smits (NL),46.94
RA Jones (NZ),51.06
AF Milne (NZ),101.81
CP Rizwan (UAE),51.69
AR Whittall (ZIM),54.19
RS Gabriel (WI),46.38
JE Morris (ENG),74.22
Haroon Rasheed (PAK),52.53
A McGrath (ENG),47.02
DES Maxwell (CAN),69.74
TL Chatara (ZIM),49.1
Khurram Chohan (CAN),57.89
JF Kloppenburg (NL),62.26
MJ Lumb (ENG),81.28
JA McCollum (IRE),68.75
GAHM Parkar (INDIA),49.69
D Bishoo (WI),62.35
RB Kanhai (WI),60.07
RR Powar (INDIA),62.69
JC Tredwell (ENG),67.35
Faheem Ashraf (PAK),83.07
MV Nagamootoo (WI),60.0
JTC Vaughan (NZ),62.06
T Bavuma (SA),94.7
CD Cumming (NZ),53.48
SKL de Silva (SL),83.41
SC Joseph (WI),53.31
KMA Paul (WI),82.98
E Schiferli (NL),73.85
HMCM Bandara (SL),71.42
PE Cantrell (NL),52.11
MS Chapman (HKG/NZ),91.95
JL Langer (AUS),88.88
K Weeraratne (SL),90.39
Saleem Raza (UAE),91.9
AC Bedade (INDIA),86.33
DAJ Bracewell (NZ),73.83
JJ Martin (INDIA),47.73
Imran Tahir (SA),69.77
MP Maynard (ENG),69.33
IJ Gould (ENG),63.78
PM Seelaar (NL),63.52
TA Boult (NZ),73.68
GJ Cosier (AUS),92.77
AM Ellis (NZ),83.69
Mohammad Hussain (PAK),113.23
CJ Richards (ENG),58.33
RML Taylor (SCOT),89.53
C Zhuwao (ZIM),116.66
CPS Chauhan (INDIA),50.83
AN Ranasinghe (SL),104.08
DW Fleming (AUS),68.77
MDK Perera (SL),76.38
AJ Redmond (NZ),58.68
MW Alleyne (ENG),59.21
J Anderson (IRE),56.55
RS Gavaskar (INDIA),64.52
BF Hastings (NZ),55.71
VD Philander (SA),70.89
RG Aga (KENYA),71.77
BB Chari (ZIM),45.18
NA Foster (ENG),61.47
GD Barlow (ENG),58.43
AR Khurasiya (INDIA),79.25
Khalid Latif (PAK),64.47
Nazimuddin (BDESH),62.02
GM Strydom (ZIM),65.33
MRJ Watt (SCOT),72.77
D Williams (WI),60.74
JA Burns (AUS),79.34
SE Findlay (WI),75.25
Sompal Kami (NEPAL),89.02
MP O'Dowd (NL),72.5
AC Agar (AUS),86.74
R Clarke (ENG),62.06
DK Liyanage (SL),69.56
LN Onyango (KENYA),76.59
G Malla (NEPAL),75.66
Abdur Rehman (PAK),53.99
CM Kuggeleijn (NZ),63.67
D Langford-Smith (IRE),106.76
MB Loye (ENG),77.17
K Zondo (SA),63.39
DE Bernard (WI),64.38
ARC Fraser (ENG),67.78
OD Gibson (WI),102.17
CR Matthews (SA),69.8
A Nehra (Asia/INDIA),57.31
Shahid Saeed (PAK),44.62
VJ Wells (ENG),55.73
AF Buurman (NL),78.21
HMRKB Herath (SL),64.51
Rubel Hossain (BDESH),56.22
JM Wiener (AUS),43.2
MV Fleming (ENG),101.45
KH MacLeay (AUS),81.76
EAR de Silva (SL),57.26
GN Edwards (NZ),72.25
KA Hope (WI),71.87
S Samarawickrama (SL),83.63
RJ Bailey (ENG),69.89
RM Hogg (AUS),63.13
APB Tennekoon (SL),66.18
ST Finn (ENG),60.98
G Miller (ENG),51.32
Mohammed Shami (INDIA),82.92
LG Rowe (WI),55.73
KD Shah (HKG),57.14
R Vijay Bharadwaj (INDIA),70.1
SRD Wettimuny (SL),56.19
D Pretorius (SA),93.1
PA Browne (WI),74.86
TS Chisoro (ZIM),61.46
Krishna Chandran (UAE),48.9
Arshad Khan (PAK),61.29
MD Bell (NZ),49.62
RJ Sidebottom (ENG),68.55
RK Chauhan (INDIA),77.19
D Keulder (NAM),60.0
Bazid Khan (PAK),56.46
MSK Prasad (INDIA),58.22
Sajid Ali (PAK),44.36
RW Taylor (ENG),41.66
RJ Trott (BMUDA),52.2
TJ Zoehrer (AUS),71.03
KTGD Prasad (SL),88.35
Shafiul Islam (BDESH),54.89
BOP Fernando (SL),63.05
FC Hayes (ENG),54.46
Khawar Ali (OMAN),50.0
DT Hondo (ZIM),51.0
TE Jesty (ENG),69.78
A Nel (SA),76.5
Yasir Shah (PAK),85.23
SJ Baard (NAM),63.31
Basil Hameed (UAE),71.18
Dhiman Ghosh (BDESH),62.68
MG Erasmus (NAM),74.55
M Kartik (INDIA),70.78
TRO Payne (WI),52.5
CP Senanayake (SL),59.71
PA Jaques (AUS),71.02
MC Sorensen (IRE),80.64
AJ Turner (AUS),145.34
AIC Dodemaide (AUS),77.98
ZE Green (NAM),68.13
A Maregwede (ZIM),56.88
JA Samarasekera (UAE),57.67
M van Jaarsveld (SA),73.37
LR Williams (WI),66.66
Ziaur Rahman (BDESH),112.72
CD de Lange (SCOT),61.5
BM Duckett (ENG),80.92
GA Paterson (ZIM),37.61
J Arun Lal (INDIA),52.58
RL Bhudia (KENYA),98.38
CRM Douglas (BMUDA),55.96
BA Parchment (WI),56.22
SK Gupta (KENYA),55.0
GJAF Aponso (NL),48.58
L Balaji (INDIA),78.94
Shahid Mahboob (PAK),61.34
EJ Chatfield (NZ),34.1
DBL Powell (WI),71.95
JN Snape (ENG),68.2
V Yadav (INDIA),101.72
MR Adair (IRE),115.84
DH Brain (ZIM),68.42
NB Mahwire (ZIM),46.98
FL Reifer (WI),51.09
Arshad Ayub (INDIA),71.6
Azam Khan (PAK),65.53
PH Edmonds (ENG),50.0
Hamza Tariq (CAN),73.88
Tauseef Ahmed (PAK),53.7
PWH de Silva (SL),103.6
GK Khoda (INDIA),62.16
GD McGrath (AUS/ICC),48.72
MA Carberry (ENG),63.33
C Carter (HKG),61.29
GR Dilley (ENG),85.71
FM Engineer (INDIA),58.46
KD Ghavri (INDIA),58.76
MO Jones (BMUDA),75.83
DL Maddy (ENG),54.85
Naved Anjum (PAK),73.37
MJ Cosgrove (AUS),96.55
JN Frylinck (NAM),115.46
K Gore (USA),65.49
Haseeb Amjad (HKG),131.76
DP Hyatt (WI),59.57
CT Mutombodzi (ZIM),70.0
Hasan Jamil (PAK),92.5
RDM Leverock (BMUDA),29.05
Shan Masood (PAK),76.55
RD Brown (ZIM),32.93
BJ McCarthy (IRE),54.72
Rashid Khan (PAK),63.58
MG Burmester (ZIM),52.65
CL Smith (ENG),45.41
CG Williams (NAM),60.22
DS Airee (NEPAL),68.35
MJ McClenaghan (NZ),78.26
SS McKechnie (HKG),55.95
R Murray (ZIM),60.67
Hamid Hassan (AFG),54.87
SJ Rhodes (ENG),71.33
G Cook (ENG),40.61
CR Foggo (BMUDA),60.91
KO Meth (ZIM),57.92
Faruk Ahmed (BDESH),38.46
AS Joseph (WI),83.33
RK Kleinveldt (SA),84.67
TJ Laughlin (AUS),65.62
PM Toohey (AUS),78.94
CD Collymore (WI),39.84
D Elgar (SA),58.75
BP Nash (WI),73.75
RP Singh (INDIA),42.97
K Birkenstock (NAM),53.36
MW Priest (NZ),45.77
G Toka (PNG),54.21
JW Wilson (NZ),91.96
Ehsan Khan (HKG),44.73
Waqas Barkat (HKG),55.43
D Wiese (SA),88.69
Arshad Laeeq (UAE),46.97
XJ Doherty (AUS),54.89
ERNS Fernando (SL),46.75
RO Hinds (WI),59.41
WR James (ZIM),39.6
Kuldeep Yadav (INDIA),58.38
TA Lloyd (ENG),44.29
Tabarak Dar (HKG),57.71
GB Troup (NZ),72.14
S Amarnath (INDIA),84.03
S Elworthy (SA),62.5
AC Evans (SCOT),63.69
MG Hughes (AUS),74.62
Shahzaib Hasan (PAK),88.49
NMK Smith (ENG),75.75
A Zampa (AUS),62.89
Akshay Homraj (USA),73.33
LV Garrick (WI),48.52
AFG Griffith (WI),55.93
Irfan Ahmed (HKG),79.2
BC Rose (ENG),47.14
Saad Nasim (PAK),79.83
Sandeep Goud (OMAN),88.39
DCC Borden (BMUDA),50.25
GJ Crocker (ZIM),93.33
EJ Gray (NZ),42.6
LR Johnson (WI),56.0
I Maraj (CAN),37.12
Mohammad Ishaq (UAE),75.38
GC Small (ENG),52.12
Sohrawordi Shuvo (BDESH),72.59
GM Ewing (ZIM),70.8
AL Kandappah (CAN),62.17
RB Kerr (AUS),61.0
Manzoor Akhtar (PAK),65.98
Azhar Hossain (BDESH),36.09
MP Bicknell (ENG),92.3
RE van der Merwe (NL/SA),101.05
Aamer Yamin (PAK),98.95
D Daesrath (CAN),69.34
AA Donald (SA),34.05
Mohammad Tauqir (UAE),57.92
HK Olonga (ZIM),58.28
JS Patel (NZ),58.64
KL Tucker (BMUDA),38.61
Aarif Sheikh (NEPAL),53.4
PC de Silva (SL),83.92
VC Drakes (WI),54.02
GFJ Liebenberg (SA),47.23
Mohammed Qasim (UAE),50.0
LJ Tucker (IRE),91.26
S Abid Ali (INDIA),70.45
Kabir Ali (ENG),86.11
PVD Chameera (SL),62.0
MR Gillespie (NZ),78.81
V Mehra (UAE),45.54
BC Strang (ZIM),41.81
SJ Harmison (ENG),64.53
JV Harris (CAN),44.6
SG Peall (ZIM),60.66
DP Samaraweera (SL),53.84
RT Lyons (SCOT),61.22
GB Murgatroyd (NAM),62.06
A Nao (PNG),108.43
A Ratra (INDIA),70.86
Aamer Hanif (PAK),69.53
FA Allen (WI),88.11
Bilawal Bhatti (PAK),118.66
JJ van der Wath (SA),127.14
VB Chandrasekhar (INDIA),54.32
NK Patel (USA),65.67
Raees Ahmadzai (AFG),64.23
AJ Traicos (ZIM),50.28
Anil Dalpat (PAK),63.97
H Hiri (PNG),63.5
K Jethi (CAN),110.12
Suraj Kumar (OMAN),60.41
RM Ellison (ENG),78.18
BD Julien (WI),58.1
EH Mattis (WI),45.26
AD Mullally (ENG),36.13
RK Paudel (NEPAL),77.47
WB Rankin (ENG/IRE),43.43
R Vinay Kumar (INDIA),58.9
BV Vitori (ZIM),95.55
W Watson (NZ),47.77
PB Dassanayake (SL),59.85
PJC Hoffmann (SCOT),123.18
KAD Hurdle (BMUDA),84.15
SI Mahmood (ENG),84.15
KJ Barnett (ENG),57.53
IG Butler (NZ),54.54
SF Dukanwala (UAE),60.43
VB John (SL),55.26
GI Maiden (SCOT),63.15
Saqib Ali (UAE),65.11
Younis Ahmed (PAK),55.62
OAC Banks (WI),55.7
GH Bodi (SA),62.87
AG Davies (SCOT),53.89
LHD Dilhara (SL),77.57
DJM Short (AUS),83.83
R Strydom (IRE),53.54
RGD Willis (ENG),52.86
RR David (CAN),48.23
C Hemraj (WI),83.67
LJ Koen (SA),48.52
DB Kotze (NAM),60.74
Nasir Aziz (UAE),65.6
RD Robinson (AUS),57.34
MC Henriques (AUS),68.06
Mahbubul Alam (BDESH),114.08
AM Phangiso (SA),50.0
GA Rogers (SCOT),47.92
Shahid Wasif (HKG),49.69
JJ Smit (NAM),71.05
S Sriram (INDIA),60.0
Syed Rasel (BDESH),43.78
JNT Vare (PNG),73.63
Jai P Yadav (INDIA),65.85
Aftab Alam (AFG),74.76
G Goudie (SCOT),80.8
TR Gripper (ZIM),42.78
Hammad Azam (PAK),61.06
PWE Rawson (ZIM),65.04
SK Sharma (INDIA),59.25
TD Astle (NZ),102.59
S Badrinath (INDIA),45.93
Shahadat Hossain (BDESH),52.31
MHN Walker (AUS),46.47
UT Yadav (INDIA),58.95
AC Dale (AUS),57.35
MF Kent (AUS),58.64
Mustafizur Rahman (BDESH),57.35
MW Rushmere (SA),44.82
Sami Aslam (PAK),66.66
MH Tissera (SL),53.06
NM Lyon (AUS),92.77
KJ Abbott (SA),60.31
TL Best (WI),60.8
SS Cottrell (WI),73.78
IG Holland (USA),82.6
CA Lynn (AUS),84.26
AP Sheahan (AUS),60.48
KDK Vithanage (SL),83.33
NG Jones (IRE),72.54
MS Kasprowicz (AUS),83.14
PWA Mulder (SA),83.14
MM Patel (INDIA),66.07
Yasir Arafat (PAK),67.27
FH Edwards (WI),45.62
CK Langeveldt (SA),58.87
EB McSweeney (NZ),61.34
GR Sealy (CAN),48.99
CS Serjeant (AUS),46.2
R Telemachus (SA),77.65
AL Wadekar (INDIA),81.11
DS Weerakkody (SL),110.6
G Blakeney (BMUDA),104.34
TG Hogan (AUS),75.78
BA Murphy (ZIM),55.38
OL Pitcher (BMUDA),33.17
I Sharma (INDIA),35.46
S Viswanath (INDIA),51.79
CJ Adams (ENG),49.3
DI Allan (KENYA),46.4
SA Edwards (NL),87.65
EH Hutchinson (USA),144.89
MJG Rippon (NL),63.39
JDF Vandersay (SL),42.77
KED Carroll (IRE),55.55
SR Gillespie (NZ),66.03
Shuvagata Hom (BDESH),81.39
MJ Smith (ENG),44.02
RD Steede (BMUDA),49.29
Ashraf Ali (PAK),51.11
SR Clark (AUS),78.4
AC Dawson (SA),102.98
Y Goonasekera (SL),66.34
SP Khakurel (NEPAL),53.07
Mujeeb Ur Rahman (AFG),87.34
TP Visee (NL),123.21
FS Crockwell (BMUDA),65.38
TGJ Gruijters (NL),58.62
OJ Hairs (SCOT),68.0
Iftikhar Ahmed (PAK),93.15
RK Illingworth (ENG),57.14
Jatinder Singh (OMAN),49.63
Junaid Khan (PAK),53.54
SO Ngoche (KENYA),57.14
Nurul Hasan (BDESH),97.14
JA Richardson (AUS),80.95
M Sheikh (KENYA),55.28
SJ Cook (SA),56.77
SG Davies (ZIM),38.72
Junaid Siddiqui (CAN),46.52
N Madziva (ZIM),48.55
HJC Mol (NL),36.61
Nadeem Ahmed (HKG),44.37
V Pollard (NZ),46.2
Shapoor Zadran (AFG),41.87
IS Sodhi (NZ),76.13
Waqas Khan (HKG),48.9
PR Adams (SA),53.22
Akhtar Sarfraz (PAK),66.66
RJ Bright (AUS),54.09
Sharafuddin Ashraf (AFG),66.0
OO Bascome (BMUDA),44.82
KCG Benjamin (WI),81.25
RD King (WI),32.01
RG Petrie (NZ),59.63
Saeed Azad (PAK),49.61
VA Holder (WI),75.29
H Osinde (CAN),49.23
KF Semple (WI),38.78
RO Hussain (SCOT),44.05
PD McGlashan (NZ),123.52
MQ Sheikh (SCOT),45.0
Taijul Islam (BDESH),81.81
Adnan Akmal (PAK),69.66
SD Anurasiri (SL),43.35
DE Budge (SCOT),88.57
PG Coman (NZ),59.61
CE Cuffy (WI),49.6
LH Ferguson (NZ),49.6
SN Netravalkar (USA),68.13
JB Reva (PNG),74.69
Shaheedur Rahman (BDESH),57.4
Azhar Saeed (UAE),31.28
Dolar Mahmud (BDESH),138.63
BT Foakes (ENG),80.26
MN Hart (NZ),60.39
JD Love (ENG),61.0
EO Odumbe (KENYA),40.66
DR Parry (WI),79.22
Shakeel Ahmed jnr (PAK),47.65
L Sreekumar (UAE),83.56
ELR Stewart (SA),52.58
DS Wesonga (KENYA),56.48
RM West (IRE),148.78
GE Bradburn (NZ),46.15
JJ Celestine (BMUDA),44.44
ST Clarke (WI),103.44
Humayun Farhat (PAK),107.14
JA Jameson (ENG),37.97
NC McGarrell (WI),61.22
Abdul Jabbar (CAN),71.95
WD Balaji Rao (CAN),66.29
Gazi Ashraf (BDESH),24.68
MBS Jonkman (NL),74.68
MA Parker (SCOT),56.73
RO Butcher (ENG),85.29
Imran Haider (UAE),42.64
TMK Mawoyo (ZIM),36.25
D Murphy (SCOT),49.15
Saqlain Haider (UAE),75.32
M van Schoor (NAM),52.25
BM Wheeler (NZ),123.4
B Yardley (AUS),59.18
KD Boyce (WI),74.02
Ehsanul Haque (BDESH),44.18
Frasat Ali (EAf),32.38
G Salmond (SCOT),52.29
AJ Tye (AUS),118.75
V Aravind (UAE),76.71
RS Haire (IRE),77.77
JK Lever (ENG),36.84
NM Odhiambo (KENYA),46.28
Sohail Fazal (PAK),94.91
LL Tsotsobe (SA),51.37
MA Wood (ENG),88.88
MW Douglas (NZ),44.71
FY Fazal (INDIA),90.16
TV Mufambisi (ZIM),61.11
SJ Palframan (SA),68.75
TK Patel (USA),53.92
EC Rainsford (ZIM),41.04
SK Ranasinghe (SL),67.9
Abdul Shakoor (UAE),52.94
Arshad Ali (UAE),52.94
RJ Campbell (AUS),77.14
RD Jackman (ENG),58.06
RWT Key (ENG),40.0
J Kila (PNG),85.71
BJ McKechnie (NZ),37.24
Mohammad Iqbal (CAN),67.5
JV Paranjpe (INDIA),59.34
RG Samuels (WI),85.71
RK Sethi (EAf),29.18
S Venkataraghavan (INDIA),42.85
BCJ Cutting (AUS),79.1
Ghulam Ali (PAK),43.8
Mafizur Rahman (BDESH),50.96
Manjural Islam (BDESH),39.55
WP Masakadza (ZIM),42.4
Mohammad Sharif (BDESH),51.96
RAP Nissanka (SL),37.85
DL Underwood (ENG),39.84
CAK Walton (WI),61.62
AJ Woodcock (AUS),79.1
JE Brinkley (SCOT),44.06
TK Canning (NZ),71.23
JS Malhotra (USA),73.23
B Mavuta (ZIM),110.63
AK Perera (SL),62.65
N Pokana (PNG),49.05
Zahoor Khan (UAE),67.53
CS Cowdrey (ENG),110.86
D Dasgupta (INDIA),62.19
AH Gray (WI),66.23
A Mithun (INDIA),92.72
CA Pujara (INDIA),39.23
KW Richardson (AUS),91.07
BS Sandhu (INDIA),52.57
DE Bollinger (AUS),92.59
NE Clarke (NL),44.64
JG Heron (ZIM),30.67
PA Horne (NZ),40.98
J Lewis (ENG),79.36
D Ravu (PNG),63.29
IM Stanger (SCOT),33.33
CT Tremlett (ENG),56.17
Zeeshan Siddiqi (CAN),45.04
ST Banerjee (INDIA),116.66
DB Close (ENG),98.0
WW Daniel (WI),87.5
DJ Gandhi (INDIA),50.51
CK Hooper (CAN),81.66
Maninder Singh (INDIA),54.44
E Otieno (KENYA),36.02
D Ranatunga (SL),31.41
BA Reid (AUS),41.88
GK Robertson (NZ),102.08
MMC Schewe (NL),72.05
SS Tiwary (INDIA),87.5
KEA Upashantha (SL),56.97
Arafat Sunny (BDESH),52.17
GG Arnold (ENG),64.0
JH Hampshire (ENG),55.81
RJ Harris (AUS),100.0
Mohammad Irfan (PAK),32.21
CB Mpofu (ZIM),23.76
MW Pringle (SA),85.71
PC Strydom (SA),51.06
MG Vandort (SL),41.02
JJ Whitaker (ENG),73.84
Zafar Iqbal (PAK),77.41
Zulqarnain Haider (PAK),70.58
A Codrington (CAN),51.08
FA Dennis (CAN),27.48
Fayyaz Ahmed (UAE),47.0
ER Fernando (SL),71.21
L Ngidi (SA),71.21
Sarandeep Singh (INDIA),64.38
BGK Walker (NZ),59.49
Jawahir Shah (EAf),40.35
KK Nair (INDIA),52.27
J Nyumbu (ZIM),51.68
PP Ojha (INDIA),41.07
IR Redpath (AUS),68.65
Skhawat Ali (HKG),42.2
TB Sole (SCOT),106.97
Azeem Hafeez (PAK),43.26
M Karg (NAM),69.23
DA Murray (WI),32.14
GR Robertson (AUS),81.81
S Thuraisingam (CAN),41.66
PJ Wiseman (NZ),54.21
VR Brown (NZ),51.76
NA de Groot (CAN),34.64
Golam Faruq (BDESH),42.3
AV Mankad (INDIA),72.13
RD McCann (IRE),57.14
BP Patterson (WI),43.56
RH Poonawala (UAE),78.57
S Sreesanth (INDIA),36.36
JH Stander (SCOT),58.66
HR Bryan (WI),60.56
Faisal Hossain (BDESH),47.25
KHRK Fernando (SL),59.72
AR Kapoor (INDIA),68.25
A Mishra (INDIA),52.43
Salman Faris (UAE),54.43
WN Slack (ENG),50.58
GB Stevenson (ENG),76.78
SJ Swanepoel (NAM),45.74
Anwar Hossain (BDESH),39.25
Azmat Rana (PAK),57.53
MJ Fourie (IRE),82.35
GJ Gilmour (AUS),107.69
JN Maguire (AUS),59.15
JL Pattinson (AUS),52.5
MH Richardson (NZ),43.29
Shaheen Shah Afridi (PAK),65.62
JS Foster (ENG),57.74
SP Heaney (CAN),44.56
PA Hitchcock (NZ),67.21
Mehmood Quaraishy (EAf),26.62
WP Saha (INDIA),73.21
Shafiq Ahmed (PAK),45.05
Taskin Ahmed (BDESH),41.41
SR Welsh (CAN),52.56
Bilal Asif (PAK),81.63
PC Connell (IRE),54.79
DR Hadlee (NZ),47.05
Khaliq Dad (AFG),57.97
S Lamichhane (NEPAL),57.97
PS Masvaure (ZIM),66.66
Mohammad Nadeem (OMAN),44.94
ML Patel (KENYA),42.1
SJ Rixon (AUS),40.81
DJ ter Braak (NL),42.55
MR Whitney (AUS),44.44
GA Briant (ZIM),56.52
YS Chahal (INDIA),54.16
SS Das (INDIA),50.64
KSC de Silva (SL),42.39
DR Gilbert (AUS),38.23
Iqbal Qasim (PAK),43.33
BA King (WI),69.64
N Kruger (NL),52.0
GD Lloyd (ENG),48.75
TBA May (AUS),75.0
LS Pascoe (AUS),38.23
Ramveer Rai (UAE),31.45
RH Scholte (NL),28.88
A Shahzad (ENG),65.0
SN Thakur (INDIA),177.27
Zulfiqar Ali (EAf),51.31
JT Ball (ENG),77.55
CJD Chappell (CAN),26.57
PP Chawla (INDIA),65.51
CKB Kulasekara (SL),52.77
PJ Martin (ENG),71.69
Mohammad Aslam (UAE),52.05
N M'shangwe (ZIM),84.44
SS Naik (INDIA),55.88
Najeeb Amar (HKG),59.37
GH O'Brien (BMUDA),70.37
CAH Stevenson (USA),86.36
S Walusimbi (EAf),30.15
PN Webb (NZ),37.62
Zeeshan Maqsood (OMAN),51.35
JR Hazlewood (AUS),64.91
MP Jarvis (ZIM),55.22
TS Kamunhukamwe (ZIM),74.0
TS Roland-Jones (ENG),100.0
Saiful Islam (BDESH),62.71
Shahid Anwar (PAK),84.09
DJ White (NZ),38.14
Ankur Vasishta (HKG),52.17
M Bhanuka (SL),92.3
PW Gunaratne (SL),57.14
MF Malone (AUS),57.14
G Mylvaganam (UAE),39.13
AR Pitcher (BMUDA),40.44
KR Pushpakumara (SL),69.23
Saleem Jaffar (PAK),49.31
RB Simpson (AUS),67.92
LO Tikolo (KENYA),48.0
JO Troughton (ENG),47.36
B Bhandari (NEPAL),45.45
PKD Chase (IRE),62.5
H Durham (BMUDA),33.33
G Dymock (AUS),42.68
Joginder Sharma (INDIA),116.66
C McAuslan (HKG),48.61
Nazmul Hossain (BDESH),27.34
JO Ngoche (KENYA),41.17
KT Sandher (CAN),32.71
AR Tait (NZ),109.37
SD Udal (ENG),76.08
MWA van Nierop (NL),71.42
SM Warnapura (SL),46.05
Zulfiqar Babar (PAK),87.5
RP Alexander (USA),45.33
SA Ankola (INDIA),80.95
Ata-ur-Rehman (PAK),44.73
Atiq-uz-Zaman (PAK),94.44
ID Austin (ENG),69.38
RO Collinge (NZ),54.83
RMS Eranga (SL),53.12
BN French (ENG),47.88
AS Luseno (KENYA),68.0
M Mbangwa (ZIM),60.71
Mohammad Asif (Asia/PAK),34.0
CG Rackemann (AUS),44.15
TT Smart (HKG),36.17
Fayyaz Butt (OMAN),78.57
T Gibbons (BMUDA),33.67
LWS Kaluperuma (SL),55.0
RR Kulkarni (INDIA),84.61
RJ McCurdy (AUS),46.47
GE Peckover (ZIM),61.11
PARP Perera (SL),56.89
TL Seifert (NZ),122.22
AS Wassan (INDIA),58.92
TM Alderman (AUS),32.98
RE Bryson (SA),128.0
BFW de Leede (NL),42.66
BP Kruger (NL),64.0
SLV Raju (INDIA),47.76
JD Siddons (AUS),86.48
SP Terry (IRE),47.76
Amir Hayat (UAE),42.46
BS Bedi (INDIA),44.28
HM Goonatilleke (SL),53.44
PW Jarvis (ENG),79.48
C Jonker (SA),93.93
GC Martin (ZIM),47.69
MN Nawaz (SL),43.66
JD Nel (SCOT),57.4
PADLR Sandakan (SL),35.22
MM Sharma (INDIA),46.96
PM Siddle (AUS),103.33
Sikander Bakht (PAK),31.95
RW Sims (ZIM),46.26
HR Walsh (USA/WI),83.78
